variant,verifier_score,verifier_score_delta,contradiction_rate,contradiction_rate_delta,synthesis_confidence,synthesis_confidence_delta,time_to_retained_policy,reruns_to_retained_policy,token_cost_per_retained_policy,checkpoint_acceptance_rate,correction_uptake_rate,checkpoint_to_improvement_lift,checkpoint_attribution_index
baseline_autonomous,0.5983937500000001,0.0,0.41398616666666666,0.0,0.66150325,0.0,150.88596483333333,2.8689769166666665,3910.6787840833335,0.5884311666666666,0.4344728333333333,-0.0027712500000000003,-0.0012194999999999999
rehydration_only,0.6566271666666667,0.05823341666666659,0.37096866666666667,-0.043017499999999986,0.7084119166666667,0.04690866666666671,134.98388741666668,2.38627225,3575.037698,0.6657817500000001,0.5318234166666667,0.06529591666666666,0.03962175
rehydration_plus_fixed_checkpoint,0.7102131666666667,0.11181941666666662,0.33488075,-0.07910541666666665,0.7646873333333333,0.10318408333333329,118.94916491666666,2.0144190833333333,3285.897952,0.8211604166666666,0.7072020833333333,0.14441675,0.11085883333333334
rehydration_plus_adaptive_checkpoint,0.7645105,0.16611674999999992,0.303302,-0.11068416666666664,0.8222075,0.16070425,105.83090258333334,1.6969921666666667,3001.6565593333335,0.9176065,0.8136481666666666,0.23192058333333335,0.20133733333333334
